SN,ID,Name,PAir Name,Installation,Uninstalled,MacAdress,Lat ,long,Lat Fake,Long Fake,
1,101487,1o GEL Mikras outdoor,1o GEL Mikras,11/29/2021,,10:52:1C:4C:88:D4,40.47303217,22.96891265,39.67016192,24.15543608,
2,30777,1o Lykeio Thermis,1o Lykeio Thermis,6/21/2019,,84:F3:EB:27:7E:8,40.54803787,23.01329485,40.00303499,24.77456852,
3,101567,Thermi-2 dim,Thermi-2 dim,4/5/2023,,40:F5:20:1E:65:33,40.54517437,23.02314771,39.60363411,24.19868482,
4,165629,2o Dimotiko Trilofou,2 Dimotiko Trilofou 2023,11/22/2023,,AC:B:FB:C3:3A:92,40.466914,22.96492275,39.70201852,23.4922665,
5,101477,2o GEL Mikras outdoor,2o GEL Mikras (outdoor),12/14/2021,,10:52:1C:41:FD:3C,40.5237323,22.99513101,39.59459342,23.76692056,
6,30601,Agia Paraskevi,Agia Paraskevi,9/7/2021, ,bc:dd:c2:18:9:9a,40.48098239,23.04803744,39.83029645,24.41751286,
7,165609,Dhmotiko Tagaradon,2 Dimotiko Tagaradon 2023,11/21/2023,,48:3F:DA:2A:CD:A0,40.48684615,23.02080993,39.54873017,23.64153747,
8,30761,Dimotiko Peristeras,Dimotiko Peristeras,6/20/2019,,80:7D:3A:52:6:90,40.54989509,23.16588452,39.65712245,25.2359943,
9,30599,Fragma Thermis,Fragma Thermis,7/7/2019,,80:7D:3A:2B:8D:74,40.5542132,23.0415435,39.64866381,24.97232243,
10,101433,Gimnasio Vasilikon outdoor,Gimnasio Vasilikon (outdoor),12/14/2021,,10:52:1C:41:FD:9D,40.48178748,23.12368328,39.66633672,23.58785564,
11,165591,KAPI Trilofoy,KAPI TRILOFOU 2023,11/21/2023,,C4:5B:BE:E0:84:A1,40.46816794,22.96912277,39.60813079,23.47998703,
12,165623,Kardia,KARDIA 2023,11/21/2023,,48:3F:DA:2A:E4:4B,40.46832478,22.99460481,39.57760047,23.90235017,
13,165607,Livadi,Livadi 2023,11/22/2023,,48:3F:DA:2A:D1:F2,40.52195025,23.22153389,39.66893893,24.397071,
14,97809,Nea Raidestos,Nea Raidestos 2024,10/2/2024,,40:F5:20:1E:73:79,40.52438407,23.05121996,39.68831414,24.40253832,
15,101613,Neo Rysio 2023,Neo Rysio 2023,4/5/2023,,40:F5:20:1D:BA:24,40.4982755,22.98841995,39.64285069,24.22438187,
16,96025,Agios Antonios,Agios Antonios 2024,10/1/2024,,10:52:1C:4C:8B:CE,40.43537556,23.09253317,39.69126194,24.32300192,
17,311249,Plagiari Paidikos Stathmos,Plagiari Paidikos Stathmos 2026,4/23/2026,,A8:48:FA:CA:96:DF,40.47517821,22.95980446,40.18433018,25.35616769,
18,14835,Thermi,Thermi,11/14/2018,,84:F3:EB:45:6F:19,40.546102,23.0193334,39.05399029,24.95034977,
19,30605,Thermi Tavaki 2,Thermi Tavaki 2,10/22/2019,,80:7D:3A:2B:5E:FA,40.5490037,23.0195722,39.72168086,24.40659496,
20,165601,Thermi-Cultural Center,Thermi Cultural Center 2023,11/21/2023,,48:3F:DA:2A:8F:CB,40.5489282,23.02297045,39.56722358,24.08040453,
21,30597,Triadi Artemidos,Triadi Artemidos,10/23/2019,,80:7D:3A:2B:92:BB,40.549482,23.045501,39.65956081,24.43527151,
22,14999,Vasilika,Vasilika,11/14/2018,,84:F3:EB:45:42:34,40.47898042,23.13627636,39.05399029,24.95034977,
23,296307,Vasilika Sinetairismos,Vasilika Sinetairismos 2025,9/24/2025,,BC:DD:C2:70:D8:DD,40.48226862,23.13603101,39.61619518,24.49294517,
101,101473,2o GEL MIKRAS indoor,2 GEL MIKRAS (INDOOR),11/29/2021,,10:52:1C:41:C4:93,40.52378714,22.99552859,39.37843578,24.66545046,
102,101599,1o GEL Mikras indoor,1o GEL Mikras (indoor),12/14/2021,,10:52:1C:41:E6:21,40.47295875,22.96896381,39.6108665,24.29281634,
103,101595,1o Gymnasio Thermis indoor,1o Gymnasio Thermis (indoor),12/14/2024,,10:52:1C:41:68:6E,40.54907606,23.01435814,39.5461976,24.18989525,
104,101535,Gimnasio Vasilikon indoor,Gimnasio Vasilikon (indoor),12/14/2021,,10:52:1C:41:94:E5,40.48241279,23.12410519,39.5230524,24.46443722,
201,30741,2o Dhmotiko Thermis Old,2o Dhmotiko Thermis,6/21/2019,4/5/2023,84:F3:EB:6B:F2:A9,40.54568825,23.02311683,39.2414329,24.51089665,
202,56459,PERAIA-DIOS,PERAIA-DIOS,10/6/2020,11/20/2023,BC:DD:C2:70:D8:DD,40.50800461,22.93701216,39.42182003,23.94775435,archived
203,30869,Neo Rysio Old,Neo Rysio,10/21/2019,4/5/2023,84:F3:EB:28:C:47,40.4999278,22.989273,39.51539363,24.34059136,
204,14985,Nea Raidestos Old,Nea Raidestos,11/15/2018,11/21/2023,84:F3:EB:45:22:4,40.52414023,23.05122174,39.61481889,24.57681462,
205,31123,Dhmotiko Tagaradon Old,Dhmotiko Tagaradon,6/20/2019,11/21/2023,84:F3:EB:28:D:CA,40.48700703,23.02079755,39.7500992,24.58780094,
206,30827,Vasilika Sinetairismos Old,Vasilika Sinetairismos,6/20/2019,11/20/2023,84:F3:EB:27:7E:7,40.48231961,23.1362116,39.58095741,24.54385563,
207,31139,Plagiari Paidikos Stathmos Old,Plagiari Paidikos Stathmos,6/19/2019,11/22/2023,84:F3:EB:28:C:91,40.47513637,22.9598915,39.51318481,24.62075993,
208,30875,2o Dimotiko Trilofou Old,2o Dimotiko Trilofou,6/19/2019,11/22/2023,84:F3:EB:28:C:4C,40.46804317,22.96473847,39.7648794,24.66195866,
209,101441,KAPI Trilofoy Old,KAPI Trilofoy,11/29/2021,11/21/2023,10:52:1C:41:B6:F2,40.46822039,22.96913411,39.60183554,24.34242513,
210,31125,Livadi Old,Livadi,10/22/2019,11/22/2023,84:F3:EB:28:D:C0,40.52204963,23.22157893,39.77466701,24.66078791,
211,30889,Thermi-Cultural Center Old,Thermi-Cultural Center ,6/19/2019,11/21/2023,84:F3:EB:28:1B:7C,40.5487331,23.0230195,39.64866381,24.54385563,
212,15007,Kardia Old,Kardia Old,11/15/2018,11/21/2023,84:F3:EB:45:26:21,40.46829879,22.99462571,39.69940014,23.97256657,
213,101531,Epektasi Thermis Old,Epektasi Thermis,11/3/2021,1/3/2024,10:52:1C:41:D6:25,40.55418602,23.01106162,39.81348859,24.4502706,
214,30603,Agios Antonios old,Agios Antonios,10/22/2019,10/1/2024,80:7D:3A:2B:8D:39,40.43533765,23.09249149,39.73348042,24.39437137,
215,56133,PERAIA - DEYKALION Old,PERAIA - DEYKALION,10/6/2020,10/2/2024,50:2:91:DF:83:2C,40.50762374,22.93346196,39.7305159,24.46056157,
216,133566,Nea Raidestos 2023 Old,Nea Raidestos 2023,11/21/2023,10/2/2024,48:3F:DA:A7:24:39,40.52432177,23.05131822,39.68402377,24.50151353,
217,56323,KAPPA2000 old,KAPPA2000,10/6/2020,10/2/2024,50:2:91:DF:82:E1,40.5171641,22.9481712,39.6492906,24.58513409,
218,101483,Thermi-Mandritsa,Thermi-Mandritsa,12/13/2022,??,10:52:1C:41:3B:99,,,,,
219,55971,PERAIA - DEYKALION,PERAIA - DEYKALION 2024,10/2/2024,???,50:2:91:DF:83:48,40.50775341,22.93338897,40.21475789,24.91092803,
220,165597,Epektasi Thermis,Epektasi Thermis 2024,1/3/2024,???,A8:48:FA:CA:96:DF,40.55416247,23.01103718,39.65082286,23.73888142,
221,133632,Vasilika Sinetairismos Old2,Vasilika Sinetairismos 2023,11/20/2023,9/24/2025,BC:FF:4D:57:1A:95,40.48226862,23.13603101,39.60003606,24.59887357,
222,30297,Souroti,Souroti,10/22/2019,??,80:7D:3A:2B:66:AF,40.47330339,23.09175602,39.68311993,24.32222477,
223,165635,Plagiari Paidikos Stathmos Old2,Plagiari Paidikos Stathmos 2023,11/22/2023,4/23/2026,AC:B:FB:C2:FB:3B,40.47517821,22.95980446,39.64167265,24.16212075,
224,159035,GET_Test_07,GET_Test_07,GET_Test_07,??,-,-,-,-,-,
